Feb 14 01:11:26 gremlin-1 exo[1143694]: [ 01:11:26.316 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='74f73847-484b-4cb8-83d1-21abe2204773' node_id='12D3KooWC744SKP9gHWpWVAYSR
Feb 14 01:11:27 gremlin-1 exo[1143694]: [ 01:11:27.088 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 01:11:27 gremlin-1 exo[1143694]: [ 01:11:27.316 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 128: NodeGatheredInfo(event_id='62ecd56f-0892-4638-86e8-7e453c1084fa' node_id='12D3KooWC744SKP9gHWpWVAYSR
Feb 14 01:11:27 gremlin-1 exo[1143694]: [ 01:11:27.316 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='62ecd56f-0892-4638-86e8-7e453c1084fa' node_id='12D3KooWC744SKP9gHWpWVAYSR
Feb 14 01:11:27 gremlin-1 exo[1143694]: [ 01:11:27.603 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /instance/previews
Feb 14 01:11:28 gremlin-1 exo[1143694]: [ 01:11:28.102 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 01:11:28 gremlin-1 exo[1143694]: [ 01:11:28.317 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 129: NodeGatheredInfo(event_id='5a5c1623-5f04-44aa-9b6b-3d2122420f14' node_id='12D3KooWC744SKP9gHWpWVAYSR
Feb 14 01:11:28 gremlin-1 exo[1143694]: [ 01:11:28.318 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='5a5c1623-5f04-44aa-9b6b-3d2122420f14' node_id='12D3KooWC744SKP9gHWpWVAYSR
Feb 14 01:11:28 gremlin-1 exo[1143694]: [ 01:11:28.341 | DEBUG    | exo.download.coordinator:_emit_existing_download_progress:279 ] DownloadCoordinator: Fetching and emitting existing download progress...
Feb 14 01:11:28 gremlin-1 exo[1143694]: [ 01:11:28.378 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 130: NodeDownloadProgress(event_id='24eb3b73-1ed8-4138-8365-a7a1a5af80ab' download_progress=DownloadPendi
Feb 14 01:11:28 gremlin-1 exo[1143694]: [ 01:11:28.379 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='24eb3b73-1ed8-4138-8365-a7a1a5af80ab' download_progress=DownloadPendi
Feb 14 01:11:28 gremlin-1 exo[1143694]: [ 01:11:28.381 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 131: NodeDownloadProgress(event_id='b1081780-6b65-4b36-b211-1da94f4b5e49' download_progress=DownloadPendi
Feb 14 01:11:28 gremlin-1 exo[1143694]: [ 01:11:28.381 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='b1081780-6b65-4b36-b211-1da94f4b5e49' download_progress=DownloadPendi
Feb 14 01:11:28 gremlin-1 exo[1143694]: [ 01:11:28.389 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 132: NodeDownloadProgress(event_id='08128133-fd0f-4f57-9d8e-894f9d2434f8' download_progress=DownloadPendi
Feb 14 01:11:28 gremlin-1 exo[1143694]: [ 01:11:28.390 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='08128133-fd0f-4f57-9d8e-894f9d2434f8' download_progress=DownloadPendi
Feb 14 01:11:28 gremlin-1 exo[1143694]: [ 01:11:28.393 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 133: NodeDownloadProgress(event_id='05e72c48-7417-4a5a-9874-823514595269' download_progress=DownloadPendi
Feb 14 01:11:28 gremlin-1 exo[1143694]: [ 01:11:28.395 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='05e72c48-7417-4a5a-9874-823514595269' download_progress=DownloadPendi
Feb 14 01:11:28 gremlin-1 exo[1143694]: [ 01:11:28.404 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 134: NodeDownloadProgress(event_id='2d6a5047-9b5a-4942-81b8-682457673cb8' download_progress=DownloadPendi
Feb 14 01:11:28 gremlin-1 exo[1143694]: [ 01:11:28.405 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='2d6a5047-9b5a-4942-81b8-682457673cb8' download_progress=DownloadPendi
Feb 14 01:11:28 gremlin-1 exo[1143694]: [ 01:11:28.412 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 135: NodeDownloadProgress(event_id='e24768e6-c151-422a-a510-250fddc7fdca' download_progress=DownloadCompl
