Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.785 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='cb8ddc19-cd62-49d1-aa0d-6cb240ce36c8' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.807 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 171: NodeDownloadProgress(event_id='b4f6d6e0-31e2-4127-8cf6-16b691359f80' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.808 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='b4f6d6e0-31e2-4127-8cf6-16b691359f80' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.820 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 172: NodeDownloadProgress(event_id='0768a70e-fc87-40ff-938b-c38c6393a445' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.822 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='0768a70e-fc87-40ff-938b-c38c6393a445' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.823 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 173: NodeDownloadProgress(event_id='486feb88-0c2f-4a2c-89d3-da5e11e939dd' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.824 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='486feb88-0c2f-4a2c-89d3-da5e11e939dd' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.829 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 174: NodeDownloadProgress(event_id='80d3ff96-9512-48a3-af7b-50728dd4d303' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.831 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='80d3ff96-9512-48a3-af7b-50728dd4d303' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.853 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 175: NodeDownloadProgress(event_id='b8c0ccbb-9b8a-4427-bd1a-a1f172189f9f' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.855 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='b8c0ccbb-9b8a-4427-bd1a-a1f172189f9f' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.878 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 176: NodeDownloadProgress(event_id='29cfdd6a-77b1-4f64-9edd-cfe8c05c49e7' download_progress=DownloadCompl
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.878 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='29cfdd6a-77b1-4f64-9edd-cfe8c05c49e7' download_progress=DownloadCompl
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.897 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 177: NodeDownloadProgress(event_id='a5d8b3d5-1cd8-4ffd-8c6f-6a1ef8004a4d' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.897 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='a5d8b3d5-1cd8-4ffd-8c6f-6a1ef8004a4d' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.927 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 178: NodeDownloadProgress(event_id='ba40c4cf-89cb-4b8f-83c6-39b6bee8bd60' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.928 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='ba40c4cf-89cb-4b8f-83c6-39b6bee8bd60' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.973 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 179: NodeDownloadProgress(event_id='c58e56ed-b47d-4ebe-a5bd-93b0d0893877' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.974 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='c58e56ed-b47d-4ebe-a5bd-93b0d0893877' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.995 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 180: NodeDownloadProgress(event_id='c2a4642d-636a-40d3-b29c-a63480e44926' download_progress=DownloadPendi
Feb 14 01:43:27 gremlin-1 exo[1239460]: [ 01:43:27.995 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='c2a4642d-636a-40d3-b29c-a63480e44926' download_progress=DownloadPendi
Feb 14 01:43:28 gremlin-1 exo[1239460]: [ 01:43:28.004 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 01:43:28 gremlin-1 exo[1239460]: [ 01:43:28.024 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 181: NodeDownloadProgress(event_id='63a9df13-fea8-4ec8-9ada-b708e244d2a1' download_progress=DownloadPendi
Feb 14 01:43:28 gremlin-1 exo[1239460]: [ 01:43:28.024 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='63a9df13-fea8-4ec8-9ada-b708e244d2a1' download_progress=DownloadPendi
Feb 14 01:43:28 gremlin-1 exo[1239460]: [ 01:43:28.044 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 182: NodeDownloadProgress(event_id='6777167e-889b-478d-a433-ed921a43b535' download_progress=DownloadPendi
Feb 14 01:43:28 gremlin-1 exo[1239460]: [ 01:43:28.044 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 183: NodeDownloadProgress(event_id='e10e3ced-685c-43a4-938f-d587c94395a1' download_progress=DownloadPendi
Feb 14 01:43:28 gremlin-1 exo[1239460]: [ 01:43:28.045 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='6777167e-889b-478d-a433-ed921a43b535' download_progress=DownloadPendi
Feb 14 01:43:28 gremlin-1 exo[1239460]: [ 01:43:28.045 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='e10e3ced-685c-43a4-938f-d587c94395a1' download_progress=DownloadPendi
Feb 14 01:43:28 gremlin-1 exo[1239460]: [ 01:43:28.094 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 184: NodeDownloadProgress(event_id='9fdc01d7-e9b5-44ef-b389-3116a6fdc1f2' download_progress=DownloadPendi
Feb 14 01:43:28 gremlin-1 exo[1239460]: [ 01:43:28.094 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='9fdc01d7-e9b5-44ef-b389-3116a6fdc1f2' download_progress=DownloadPendi
Feb 14 01:43:28 gremlin-1 exo[1239460]: [ 01:43:28.105 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 185: NodeDownloadProgress(event_id='3aeeca89-18b9-49ec-bc25-3a681604292d' download_progress=DownloadPendi
Feb 14 01:43:28 gremlin-1 exo[1239460]: [ 01:43:28.106 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='3aeeca89-18b9-49ec-bc25-3a681604292d' download_progress=DownloadPendi
Feb 14 01:43:28 gremlin-1 exo[1239460]: [ 01:43:28.113 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 186: NodeDownloadProgress(event_id='487983eb-65ef-403d-b612-a01c15b60350' download_progress=DownloadPendi
Feb 14 01:43:28 gremlin-1 exo[1239460]: [ 01:43:28.114 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='487983eb-65ef-403d-b612-a01c15b60350' download_progress=DownloadPendi
