Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: State 'stop-sigterm' timed out. Killing.
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Killing process 1070975 (.exo-wrapped) with signal SIGKILL.
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Killing process 1071018 (python3.13) with signal SIGKILL.
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Main process exited, code=killed, status=9/KILL
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Failed with result 'timeout'.
Feb 14 01:01:32 gremlin-1 systemd[1]: Stopped exo Distributed AI Inference Service.
Feb 14 01:01:32 gremlin-1 systemd[1]: exo.service: Consumed 1min 31.946s CPU time, 16.7G memory peak, 10.9G read from disk, 408K written to disk, 8.7G incoming IP traffic, 197.1M outgoing IP traffic.
Feb 14 01:01:32 gremlin-1 systemd[1]: Starting exo Distributed AI Inference Service...
Feb 14 01:01:32 gremlin-1 systemd[1]: Started exo Distributed AI Inference Service.
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.944 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 11: NodeDownloadProgress(event_id='d6875db1-e578-404e-82c4-496abc9507d8' download_progress=DownloadPendi
Feb 14 01:01:34 gremlin-1 exo[1116617]: [ 01:01:34.945 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='d6875db1-e578-404e-82c4-496abc9507d8' download_progress=DownloadPendi
Feb 14 01:01:35 gremlin-1 exo[1116617]: [ 01:01:35.016 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 12: NodeGatheredInfo(event_id='25853285-30cc-417a-a54e-10a3113aa57b' node_id='12D3KooWFqJJWdMdMqg7KvrGjx
Feb 14 01:01:35 gremlin-1 exo[1116617]: [ 01:01:35.017 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='25853285-30cc-417a-a54e-10a3113aa57b' node_id='12D3KooWFqJJWdMdMqg7KvrGjx
Feb 14 01:01:35 gremlin-1 exo[1116617]: [ 01:01:35.019 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 13: NodeDownloadProgress(event_id='3ce9f72f-9f81-4fcd-bef7-85e452c1c797' download_progress=DownloadPendi
Feb 14 01:01:35 gremlin-1 exo[1116617]: [ 01:01:35.020 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='3ce9f72f-9f81-4fcd-bef7-85e452c1c797' download_progress=DownloadPendi
Feb 14 01:01:35 gremlin-1 exo[1116617]: [ 01:01:35.022 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 14: NodeDownloadProgress(event_id='4581c62f-4eba-4049-981c-5fe1118a6c5b' download_progress=DownloadPendi
Feb 14 01:01:35 gremlin-1 exo[1116617]: [ 01:01:35.022 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='4581c62f-4eba-4049-981c-5fe1118a6c5b' download_progress=DownloadPendi
Feb 14 01:01:35 gremlin-1 exo[1116617]: [ 01:01:35.086 | DEBUG    | exo.download.coordinator:_forward_events:271 ] DownloadCoordinator published event 15: NodeDownloadProgress(event_id='6b0528e1-8321-44db-8f69-ed3744c191f1' download_progress=DownloadPendi
Feb 14 01:01:35 gremlin-1 exo[1116617]: [ 01:01:35.087 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeDownloadProgress(event_id='6b0528e1-8321-44db-8f69-ed3744c191f1' download_progress=DownloadPendi
