Feb 14 00:57:19 gremlin-1 exo[1070975]: [ 00:57:19.377 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='40aa9b13-c5d9-497b-af57-fc19367e1375' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:19 gremlin-1 exo[1070975]: [ 00:57:19.679 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 00:57:20 gremlin-1 exo[1070975]: [ 00:57:20.374 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /instance/previews
Feb 14 00:57:20 gremlin-1 exo[1070975]: [ 00:57:20.379 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 1483: NodeGatheredInfo(event_id='3e7d8c0d-4054-40cb-a585-1d0369de1917' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:20 gremlin-1 exo[1070975]: [ 00:57:20.380 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='3e7d8c0d-4054-40cb-a585-1d0369de1917' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:20 gremlin-1 exo[1070975]: [ 00:57:20.680 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 00:57:21 gremlin-1 exo[1070975]: [ 00:57:21.381 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 1484: NodeGatheredInfo(event_id='638b9773-901d-4670-af58-d9ff6f287890' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:21 gremlin-1 exo[1070975]: [ 00:57:21.382 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='638b9773-901d-4670-af58-d9ff6f287890' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:21 gremlin-1 exo[1070975]: [ 00:57:21.697 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 00:57:21 gremlin-1 exo[1070975]: [ 00:57:21.865 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 1485: NodeGatheredInfo(event_id='7c0c57e0-71c3-4126-abeb-6df020c2f177' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:21 gremlin-1 exo[1070975]: [ 00:57:21.866 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='7c0c57e0-71c3-4126-abeb-6df020c2f177' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:22 gremlin-1 exo[1070975]: [ 00:57:22.383 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 1486: NodeGatheredInfo(event_id='014ba5b2-363c-4a1b-b496-7c3bf17a6c47' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:22 gremlin-1 exo[1070975]: [ 00:57:22.385 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='014ba5b2-363c-4a1b-b496-7c3bf17a6c47' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:22 gremlin-1 exo[1070975]: [ 00:57:22.711 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 00:57:23 gremlin-1 exo[1070975]: [ 00:57:23.390 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 1487: NodeGatheredInfo(event_id='af069969-505e-4646-aecd-ac810a2c17bd' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:23 gremlin-1 exo[1070975]: [ 00:57:23.391 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 1488: NodeGatheredInfo(event_id='6d78cf82-ba11-4717-b20d-7e18c1bc8514' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:23 gremlin-1 exo[1070975]: [ 00:57:23.393 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='af069969-505e-4646-aecd-ac810a2c17bd' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:23 gremlin-1 exo[1070975]: [ 00:57:23.395 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='6d78cf82-ba11-4717-b20d-7e18c1bc8514' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:23 gremlin-1 exo[1070975]: [ 00:57:23.712 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 00:57:24 gremlin-1 exo[1070975]: [ 00:57:24.391 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 1489: NodeGatheredInfo(event_id='a56ea94f-9f38-419a-b667-f2baaa757e4b' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:24 gremlin-1 exo[1070975]: [ 00:57:24.392 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='a56ea94f-9f38-419a-b667-f2baaa757e4b' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:24 gremlin-1 exo[1070975]: [ 00:57:24.716 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 00:57:25 gremlin-1 exo[1070975]: [ 00:57:25.392 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 1490: NodeGatheredInfo(event_id='1313172c-a6c8-4e7c-bde2-c1667a83535d' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:25 gremlin-1 exo[1070975]: [ 00:57:25.394 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='1313172c-a6c8-4e7c-bde2-c1667a83535d' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:25 gremlin-1 exo[1070975]: [ 00:57:25.729 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 00:57:26 gremlin-1 exo[1070975]: [ 00:57:26.394 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 1491: NodeGatheredInfo(event_id='e5368598-cb59-461a-87ba-13f6b059b5eb' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:26 gremlin-1 exo[1070975]: [ 00:57:26.395 | DEBUG    | exo.master.main:_event_processor:386 ] Master indexing event: NodeGatheredInfo(event_id='e5368598-cb59-461a-87ba-13f6b059b5eb' node_id='12D3KooWCjXqiG6zEsjuomqSfS
Feb 14 00:57:26 gremlin-1 exo[1070975]: [ 00:57:26.728 | DEBUG    | exo.master.api:_log_requests:199 ] API request: GET /state
Feb 14 00:57:27 gremlin-1 exo[1070975]: [ 00:57:27.395 | DEBUG    | exo.worker.main:_forward_events:339 ] Worker published event 1492: NodeGatheredInfo(event_id='899b86be-425e-4f68-9f78-efc3090a3231' node_id='12D3KooWCjXqiG6zEsjuomqSfS
